ID,Correlativo,Fecha,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per,Std - 4 Clusters,MA_Kg - Grouping,MM_Kg - Grouping,Sum6Pliegues - Grouping,Std - 5 Clusters,Std - 6 Clusters,Height - 4 Clusters,Height - 5 Clusters,Height - 6 Clusters,Age - 4 Clusters,Age - 5 Clusters,Age - 6 Clusters
10000003,87,2023-01-12,Sub-15,14.6,163.4,17.04147933524,45.5,23.0640553135199,10.4941451676515,6.90898701117835,40.4659200301971,18.4119936137397,2.66493388740638,28.1,"Aumentar 7.8 kg de MM, mantener S6P.",84.1,36.5,26.0,17.9,24.3,6.5,9.3,54.7,20.7,22.2,20.0,77.0,65.2,76.4,42.7,41.9,31.4,4.4,5.1,7.2,2.5,5.4,3.5,2023-10-19 19:58:19.247,1,,0,0-20,0-20,0-20,1,2,1,4,2,3,0,5
10000004,243,2023-03-09,Sub-15,14.4,168.4,20.4171156786522,57.9,23.0573773954876,13.3502215119873,7.25329574443679,46.4889055752769,26.9170763280853,3.71101321061264,47.5,"Aumentar 0.4 kg de MM, mantener S6P.",90.0,40.2,29.4,17.2,25.6,6.7,8.9,55.5,25.3,27.0,22.6,89.0,72.0,88.1,53.5,52.4,34.1,7.6,7.8,7.4,9.6,9.2,5.9,2023-10-19 19:58:19.247,1,,0,20-40,40-60,40-60,1,2,1,0,0,3,3,5
10000005,88,2023-01-12,Sub-15,14.1,168.1,20.0300025373696,56.6,26.300509258118,14.8860882400948,8.31379075004314,38.0426036153105,21.5321136462657,2.58992730195356,49.5,"Aumentar 2.5 kg de MM, mantener S6P.",132.4,38.5,27.7,17.4,27.6,7.2,9.7,52.6,26.0,27.5,24.7,70.4,88.4,87.4,50.5,47.8,33.4,6.6,7.1,8.7,11.0,8.4,7.7,2023-10-19 19:58:19.247,1,12.79,0,60-80,0-20,40-60,1,2,1,0,0,3,3,2
10000009,61,2023-01-13,Sub-14,13.9,174.7,20.6093756604256,62.9,24.2057182302662,15.2253967668374,8.48612054654273,43.8707521999433,27.5947031337644,3.25174536260936,46.7,"Mantener MM, disminuir 2.6 puntos en la S6P.",92.0,39.4,28.4,19.5,27.8,6.3,10.4,56.3,25.5,26.6,23.5,85.8,72.2,91.5,54.1,51.5,34.2,7.5,7.1,8.7,7.3,8.4,7.7,2023-10-19 19:58:19.247,1,13.23,0,60-80,40-60,40-60,0,4,0,3,3,3,3,2
10000013,226,2023-03-08,Sub-14,14.2,167.1,20.7360324556512,57.9,24.6039326824515,14.2456770231394,6.92554789288647,45.2115052988378,26.1774615680271,3.77983980082141,45.4,"Aumentar 2.9 kg de MM, dimisminuir 1.8 puntos en la S6P.",91.5,37.2,25.3,19.4,23.6,6.7,9.4,54.4,23.2,26.2,23.1,81.5,68.4,87.0,52.0,49.0,35.7,7.6,7.8,5.3,8.6,9.2,6.9,2023-10-19 19:58:19.247,1,30.1,0,20-40,20-40,20-40,1,2,1,0,0,3,3,2
10000020,1008,2023-03-04,Sub-16,14.4,165.8,2.749,54.1,20.69,11.191,6.319,43.98,23.795,3.7656,37.0,,87.4,35.7,26.2,37.4,26.1,6.6,8.7,56.2,25.5,26.8,23.0,82.5,70.4,85.1,50.3,47.5,32.5,6.0,6.0,5.0,9.0,7.0,4.0,2024-01-27 20:03:20.700,1,12.07,0,0-20,20-40,0-20,1,2,1,0,0,3,3,5
10000022,67,2023-01-13,Sub-14,13.5,174.6,21.2234411759689,64.7,26.2302047428919,16.970942468651,9.65542401465381,42.3426587737117,27.3957002265915,2.83733787195815,53.2,"Mantener MM, disminuir 2.2 puntos en la S6P.",95.9,40.4,26.5,17.5,28.1,7.1,10.6,55.8,26.7,28.6,25.3,81.5,70.4,91.2,52.6,49.7,35.6,8.3,8.7,8.4,10.0,6.9,10.9,2023-10-19 19:58:19.247,1,13.28,0,80-100,40-60,60-80,0,4,0,3,3,0,3,2
10000024,64,2023-01-13,Sub-14,13.9,166.1,18.8479481652429,52.0,28.0722075150476,14.5975479078247,7.68996056205256,42.2896896161943,21.990638600421,2.85965557599055,48.5,,128.2,35.5,25.4,16.5,27.2,6.7,10.0,53.7,22.6,23.5,21.7,80.9,76.9,93.1,47.4,45.9,33.5,7.9,6.7,8.1,5.7,10.8,9.3,2023-10-19 19:58:19.247,1,16.54,0,40-60,0-20,40-60,1,2,1,0,0,3,3,2
10000025,65,2023-01-13,Sub-14,13.6,172.8,23.6437971536351,70.6,27.8053166719369,19.6305535703875,8.92870107614486,41.8450846314123,29.5426297497771,3.30872648751869,76.4,"Mantener MM, disminuir 9.8 puntos en la S6P.",97.1,39.4,29.5,20.5,27.9,7.2,10.3,57.5,27.6,28.5,26.0,89.2,79.3,98.0,54.7,50.5,36.2,11.4,9.9,11.3,20.6,12.3,10.9,2023-10-19 19:58:19.247,1,14.09,0,80-100,60-80,80-100,0,4,0,3,3,3,3,2
10000028,90,2023-01-12,Sub-15,14.8,175.9,23.0763189457548,71.4,21.685390767073,15.4833690076902,9.12147506438535,47.8141023499943,34.1392690778959,3.74273555942636,47.5,"Mantener MM, disminuir 6 puntos en la S6P.",98.0,40.0,28.2,21.1,27.9,7.4,10.4,56.0,27.3,29.2,26.0,89.0,75.8,98.0,57.5,55.2,38.8,6.6,7.9,9.6,8.9,8.9,5.6,2023-10-19 19:58:19.247,1,12.65,0,60-80,80-100,40-60,0,4,0,3,3,3,0,5
10000035,46,2023-01-14,Sub-13,12.9,166.2,18.2822371955555,50.5,25.5513052441957,12.9034091483188,7.62092685983954,41.0068275028364,20.7084478889324,2.71731355907127,40.1,"Aumentar 2.8 kg de MM, disminuir 1.6 en la S6P.",89.0,37.4,25.8,16.1,25.2,7.1,9.8,53.7,22.8,24.4,22.1,77.0,65.9,84.5,47.5,45.2,31.5,5.7,6.3,7.8,7.3,8.4,4.6,2023-10-19 19:58:19.247,1,16.16,0,0-20,0-20,20-40,1,2,1,0,0,0,1,0
10000041,92,2023-01-12,Sub-15,14.3,163.9,19.6551342896102,52.8,24.3081773724957,12.8347176526778,8.099475605277,50.2866250021022,26.55133800111,3.27815519115968,38.5,"Aumentar 3.6 kg de MM, mantener S6P.",127.8,37.8,28.0,15.9,26.0,6.5,9.7,54.2,25.0,25.9,22.3,81.8,68.0,83.9,49.8,47.8,33.1,6.2,6.3,7.8,5.7,6.9,5.6,2023-10-19 19:58:19.247,1,10.97,0,0-20,40-60,0-20,1,2,1,4,2,3,3,2
10000045,93,2023-01-12,Sub-15,14.9,175.5,21.006323000625,64.7,27.1604776274841,17.5728290249822,9.84844741544083,46.6815338582906,30.202952406314,3.06677297773459,45.8,,134.2,36.9,27.3,19.0,29.8,6.7,10.6,55.4,25.1,26.8,22.3,84.2,73.5,94.0,52.8,50.5,34.9,8.8,7.1,8.1,8.9,8.3,4.6,2023-10-19 19:58:19.247,1,,0,80-100,80-100,40-60,0,4,0,3,3,3,0,5
